date,stock,sigma,ADV
2019-08-21,AAL,0.00044592528933450504,1065884.15
2019-08-22,AAL,0.0004451087381246,1051334.65
2019-08-23,AAL,0.00042681532852151,1003030.3
2019-08-26,AAL,0.000431735762499635,1002676.55
2019-08-27,AAL,0.00043288032995895503,1005003.3
2019-08-28,AAL,0.000435070524461605,1014288.6
2019-08-29,AAL,0.00043703272947575,1026966.65
2019-08-30,AAL,0.00043480624535763507,1026892.9
2019-09-03,AAL,0.00043085818855819,1008802.7
2019-09-04,AAL,0.00042657604003142004,998630.9
2019-09-05,AAL,0.00042668713322021,996117.6
2019-09-06,AAL,0.00042240440871082,1004541.7
2019-09-09,AAL,0.00041962140159808504,1011777.65
2019-09-10,AAL,0.00041881790099862004,1034396.95
2019-09-11,AAL,0.00041981018258378496,1036868.85
2019-09-12,AAL,0.00041940903946915996,1039102.55
2019-09-13,AAL,0.00041703360632669006,1010954.0
2019-09-16,AAL,0.00040686518010324006,992203.8
2019-09-17,AAL,0.000418112464257325,1040528.1
2019-09-18,AAL,0.000430805234335085,1073346.95
2019-09-19,AAL,0.00042842373968132497,1046191.75
2019-09-20,AAL,0.000428770968080665,1046486.05
2019-09-23,AAL,0.00042884776020603993,1053445.5
2019-09-24,AAL,0.00041912319911208997,1025544.75
2019-09-25,AAL,0.00041813567711175006,1018304.5
2019-09-26,AAL,0.000419592909641315,1016225.55
2019-09-27,AAL,0.00041427526383400003,997314.65
2019-09-30,AAL,0.00041799893599817,982864.8
2019-10-01,AAL,0.0004183194889096901,988142.3
2019-10-02,AAL,0.000417092905925805,987730.8
2019-10-03,AAL,0.000423297839099625,1035243.75
2019-10-04,AAL,0.000429169609313955,1039201.75
2019-10-07,AAL,0.000431280276938625,1038670.6
2019-10-08,AAL,0.0004303775925278149,1021996.85
2019-10-09,AAL,0.00043345848371582505,1035285.35
2019-10-10,AAL,0.000430860884482365,1046433.9
2019-10-11,AAL,0.00043239483196937,1047574.65
2019-10-14,AAL,0.000439243871029635,1050704.5
2019-10-15,AAL,0.00042270290900789495,973618.95
2019-10-16,AAL,0.000410300523788365,919982.5
2019-10-17,AAL,0.00041203890268102003,939191.55
2019-10-18,AAL,0.000409546920652895,938646.45
2019-10-21,AAL,0.00040756240797635505,925573.7
2019-10-22,AAL,0.00040413497783019995,926678.6
2019-10-23,AAL,0.000401666115930425,935029.05
2019-10-24,AAL,0.000397064250533,924695.05
2019-10-25,AAL,0.00041390816962892505,974842.55
2019-10-28,AAL,0.000412168889097815,1017585.2
2019-10-29,AAL,0.00041299310452736,1032086.8
2019-10-30,AAL,0.00040979176207149,1023979.7
2019-10-31,AAL,0.00039839855879593,990856.05
2019-11-01,AAL,0.00038951425679378,984536.1
2019-11-04,AAL,0.00038510587240316,988426.55
2019-11-05,AAL,0.00038296584667212496,990045.75
2019-11-06,AAL,0.000374309752431025,967063.9
2019-11-07,AAL,0.00037069240430475997,940059.1
2019-11-08,AAL,0.00036177553558600003,939558.9
2019-11-11,AAL,0.00035805472317094496,921658.2
2019-11-12,AAL,0.00035940816478716,926545.8
2019-11-13,AAL,0.00035768509071119,936603.2
2019-11-14,AAL,0.000355340058030115,941975.85
2019-11-15,AAL,0.000353876680899425,935757.05
2019-11-18,AAL,0.00035194619433660996,932978.3
2019-11-19,AAL,0.00035441499221537003,931302.25
2019-11-20,AAL,0.00035109938085902504,919365.25
