stock,date,model_type,ADV,sigma,lambda_hat,half_life_seconds,beta,use_dynamic_target,gamma_method,gamma_clip_multiple,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime,strategy,alpha_key
ADP,2019-02-04,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,9702739.63222766,60786.44761904763,130.91059432413834,0.006264874656344006,True,19312.425263069006,0.00013630044579402402,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-05,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,8802289.700369477,60786.44761904763,-307.31771537211114,0.006905754035395598,True,16391.9875070775,0.0001410561960959636,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-06,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,7641945.760463247,60786.44761904763,-153.90932203686305,0.007954315500842133,True,13504.613921227427,0.0001655908512200955,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-07,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,8102669.530041579,60786.44761904763,-278.4067597137131,0.007502027250855398,True,16062.204138608395,0.00014832917734895998,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-08,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,6673387.212825733,60786.44761904763,77.42528619754532,0.009108784741610795,True,10218.59695821547,0.00018062144835895516,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-11,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,7377158.907537729,60786.447619047634,116.59663359679196,0.008239818117098998,True,11550.571542498676,0.0001495260758188576,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-12,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,8550347.80048842,60786.44761904764,-72.52093870950853,0.007109236844795405,True,16231.052717811637,0.00014234269710628698,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-13,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,7366760.734031446,60786.44761904761,-321.30055501105426,0.008251448610002887,True,12603.13491002067,0.0001386013929699753,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-14,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,8876942.555276286,60786.44761904763,-4.823672145347338,0.006847678380313199,True,19180.67648595095,0.00011177470825884859,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-15,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,6852275.446214881,60786.44761904761,-187.58942370945488,0.008870987177350754,True,11317.363597835461,0.00016140515549449493,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-19,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5500125.061889867,60786.44761904763,79.57336262275174,0.011051830082961994,True,8171.779779494321,0.00022403702171573244,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-20,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5675004.221681649,60786.44761904764,-4.643015969642995,0.010711260334716553,True,8050.636857518707,0.0002081664507249482,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-21,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5338916.269657154,60786.44761904763,-224.6687775407477,0.011385540538351824,True,7479.667556698791,0.0002133028352047044,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-22,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,6117291.008912054,60786.44761904763,96.1635502548693,0.00993682457324494,True,9876.83912570727,0.00021097024193492608,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-25,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5570167.282816746,60786.447619047634,147.13962760345112,0.010912858543147537,True,8400.31212812093,0.0002197950018255453,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-26,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5018666.538343234,60786.44761904763,-119.66953759215423,0.012112071434639389,True,6431.097885491461,0.00023474703892100462,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-27,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5121435.960584482,60786.44761904763,-151.81660530970933,0.011869024251571506,True,7026.597107959846,0.0002585299495728342,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-28,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,5338947.424348063,60786.44761904763,-201.99195739907958,0.011385474099601242,True,7820.202696489959,0.00022322485853652283,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-01,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,9040493.308375914,56056.780952380956,166.29520257426947,0.006200632978782804,True,11036.209596759343,0.0001555430386645339,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-04,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,8288764.6088422965,56056.78095238095,70.423418157824,0.006762983821808698,True,10107.984167539891,0.00020549593363142508,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-05,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,8419307.402851839,56056.78095238095,-160.90336770641778,0.006658122606782721,True,10130.773165735984,0.00016414856330214473,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-06,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,6779757.80525845,56056.780952380956,-104.2041070661054,0.0082682571505582,True,6886.800562887682,0.00020456566370678807,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-07,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7836446.047168271,56056.780952380956,91.02648257390238,0.007153342295087615,True,9366.866462416625,0.00018055993944364547,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-08,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7079404.571275753,56056.780952380956,97.54074645636179,0.007918290357331445,True,7527.933682568889,0.00018876051815438144,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-11,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7109909.963404108,56056.78095238094,-205.19599794013465,0.007884316572349656,True,7586.620587507937,0.00020094523415961236,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-12,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,9174477.731802188,56056.78095238094,-169.208573624849,0.006110078697784298,True,12187.307389415451,0.0001802360658707779,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-13,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,9410435.72493368,56056.78095238094,-13.615694910149557,0.005956874111987626,True,13277.537715798717,0.00018960768971105785,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-14,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,6865087.712815125,56056.78095238095,154.25739663300982,0.008165486487192177,True,7124.3416349501085,0.00018880221391162465,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-15,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7088725.261720561,56056.780952380956,-309.06425923377424,0.007907878903854564,True,7878.104718579004,0.00021741123732432407,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-19,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,6821957.863785972,56056.78095238094,33.951857857869705,0.008217110406083803,True,7784.474012247356,0.00019927997603688195,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-20,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,6760559.171883218,56056.780952380956,-102.4801517197397,0.008291737344082117,True,6854.197452653473,0.00019600026250791948,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-21,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7516340.409614283,56056.78095238095,118.41005708798016,0.0074579885818739314,True,8606.56424709302,0.00018433443328806819,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-22,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,6855463.817885978,56056.780952380956,-23.008993140646332,0.008176949429173299,True,7926.845853920351,0.00018750014888304451,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-25,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,8600909.930763088,56056.78095238094,221.08468355975177,0.006517540749017876,True,11375.02299892819,0.00018305735937043958,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-26,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,8814805.841429546,56056.78095238094,-313.6737390897207,0.006359389186874014,True,12032.514386878067,0.00015073857701509657,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-27,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,7218328.067991862,56056.78095238095,95.82490962335747,0.0077658954295736155,True,7669.225884891108,0.0001642391952012594,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AEP,2019-02-28,reduced_form,280283.90476190473,0.0002608355109743,68.78801206121108,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,56056.78095238095,8094687.809281165,56056.78095238094,13.974381555852048,0.006925131922704623,True,9436.47581880526,0.00016764716876179793,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-01,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,15409952.897915073,73593.36190476191,449.5072235878857,0.004775703234934541,True,18584.778593933937,0.0003430007477104195,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-04,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,14736204.315345298,73593.36190476191,580.2956156027947,0.004994051407669932,True,19038.718475280835,0.0003924122344882455,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-05,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,10809037.279338777,73593.3619047619,-576.2262155019607,0.006808502922404931,True,10919.178827876493,0.0004046809108754969,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-06,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,10278368.171062127,73593.36190476193,136.1237949755203,0.007160023914297775,True,9504.654144657385,0.00039188646490445584,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
