daily_pnl,impact_cost,max_abs_impact,final_position,total_abs_traded,net_traded,avg_price,traded_notional,model_type,stock,date,lambda_hat,ADV,sigma,half_life_seconds,impact_cost_bps,pnl_bps,strategy,backtest_model
-1074.1911935764956,66.35076804760583,0.0047330671759351454,-82.59585176130088,100012.02857142857,-82.59585176130064,73.22010069698987,7322890.802910228,ow,ABT,2019-02-06,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09060734323832471,-1.4668950042920148,combined,ow
-1392.8559205281508,65.3878757870551,0.0035831332919907606,-79.05526567889387,100012.02857142859,-79.05526567889397,72.01788011033379,7202654.283248422,ow,ABT,2019-02-07,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09078302694484587,-1.9338092122060981,combined,ow
-1103.579729617024,68.32828493916398,0.004736632226545331,40.793911612710716,100012.02857142859,40.79391161271042,73.03775622695403,7304654.162563163,ow,ABT,2019-02-08,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09354075281120217,-1.5107898403636182,combined,ow
-952.074103622128,69.8924823237874,0.004830336340013862,57.04010092574737,100012.02857142859,57.04010092574795,73.38075094419115,7338957.76002333,ow,ABT,2019-02-11,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09523488839860174,-1.297287891215634,combined,ow
-1119.1215114579873,68.50501882127872,0.004993257239119662,37.59484124766092,100012.02857142859,37.594841247660746,74.47321341534463,7448217.147901546,ow,ABT,2019-02-12,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09197505585692982,-1.502536095867301,combined,ow
-1329.9855712594167,78.77854324362532,0.008580824257799458,-48.46865273549204,100012.02857142857,-48.46865273549229,74.2573255981591,7426625.769360962,ow,ABT,2019-02-13,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.1060758219010192,-1.7908342396170822,combined,ow
-1202.5765663030925,68.90113917644189,0.004764770312860345,61.08166064993735,100012.02857142859,61.081660649937376,74.16398851885683,7417290.93871901,ow,ABT,2019-02-14,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09289259346262255,-1.6213150815286494,combined,ow
-1043.8490842426002,70.56720132152576,0.00634951560004367,-37.90825912361851,100012.02857142859,-37.90825912361871,74.85100429862989,7486000.780514697,ow,ABT,2019-02-15,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09426555432001163,-1.3944015167078714,combined,ow
-1271.360302608612,75.89235193487329,0.007218164062602286,-15.26914446125484,100012.02857142859,-15.269144461255145,75.23673265755,7524578.256167824,ow,ABT,2019-02-19,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.1008592765616665,-1.689610047668107,combined,ow
-1237.0289670700618,73.98597800998611,0.006105318212184071,-48.623467922159975,100012.02857142859,-48.623467922159534,75.09868454579407,7510771.784470659,ow,ABT,2019-02-20,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09850649191999176,-1.6470064629413375,combined,ow
-1518.490615892274,83.22287013536989,0.0135800043128179,47.472289766869665,100012.02857142859,47.47228976686968,75.11246530554065,7512150.02620817,ow,ABT,2019-02-21,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.11078435580363061,-2.0213795126489864,combined,ow
-1136.9070585810716,71.20936938504532,0.004196323660357245,24.067983220947887,100012.02857142859,24.06798322094742,76.12662398808574,7613578.093342831,ow,ABT,2019-02-22,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09352943978772536,-1.493262490569528,combined,ow
-1085.3138627894396,74.94168434074942,0.00478302035617025,-11.20682345223641,100012.02857142859,-11.206823452237103,76.6503466272714,7665956.656896573,ow,ABT,2019-02-25,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.0977590765182962,-1.415757890847259,combined,ow
-861.2633974666442,71.77113899009491,0.004283524301382284,-57.8424215902007,100012.02857142859,-57.84242159020081,76.58064178093487,7658985.333813196,ow,ABT,2019-02-26,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09370841679672215,-1.1245137050521612,combined,ow
-1923.1425232615388,133.96452871828978,0.011827661860181539,-34.630718765892055,100012.02857142859,-34.630718765892766,76.92615448509895,7693540.760253845,ow,ABT,2019-02-27,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.1741259751431663,-2.4996845837183628,combined,ow
-1262.0617149408606,82.86408540977715,0.00907870892709674,11.597535177211,100012.02857142859,11.59753517721061,77.67220396151137,7768154.681804504,ow,ABT,2019-02-28,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.10667151827430942,-1.6246608964893705,combined,ow
-4083.2709658517215,185.22759934922215,0.017054086249401187,24.33237874303085,82873.19047619047,24.332378743030578,248.5732452263921,20600057.898931596,ow,ADBE,2019-02-01,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08991605764313353,-1.9821648006452917,combined,ow
-3688.469958347503,177.1571894538148,0.019501573226607234,56.6424263529508,82873.19047619047,56.64242635295077,255.08162302700111,21139427.932092477,ow,ADBE,2019-02-04,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08380415497661907,-1.744829600023335,combined,ow
-3763.6952032210183,198.09722779173,0.028715367677203896,14.533456308224643,82873.19047619049,14.533456308224821,254.95552703940498,21128977.955294143,ow,ADBE,2019-02-05,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.0937561808294159,-1.7812954375665744,combined,ow
-4884.295989543771,187.0371763978429,0.01638048412474063,-61.08560294887337,82873.19047619047,-61.08560294887341,254.38344784616652,21081567.927345425,ow,ADBE,2019-02-06,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08872071424783938,-2.3168561306145685,combined,ow
-5289.55849150165,177.1183971947175,0.01464910209973828,-44.323244535204466,82873.19047619049,-44.323244535204694,252.22806613487217,20902944.568236433,ow,ADBE,2019-02-07,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08473370659168372,-2.530532707597342,combined,ow
-4609.606234437972,196.3080440506671,0.017106835095571652,64.21219788293493,82873.19047619049,64.21219788293511,255.00956247164245,21133456.043962423,ow,ADBE,2019-02-08,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09288970230060878,-2.181189023153116,combined,ow
-5346.557538467483,189.666320998758,0.022784253973491164,53.38480751590807,82873.19047619049,53.38480751590875,257.36587111951735,21328730.859358452,ow,ADBE,2019-02-11,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08892527279256174,-2.506739652594736,combined,ow
-2890.007209212279,186.39718806845107,0.01922204203917147,51.20867672512273,82873.19047619049,51.208676725122245,261.05500920871987,21634461.502917904,ow,ADBE,2019-02-12,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08615753530232825,-1.3358350559465024,combined,ow
-3990.982362453016,200.11325604832484,0.017797827669097207,-30.103045842104756,82873.19047619047,-30.103045842104713,260.10130387597434,21555424.89921912,ow,ADBE,2019-02-13,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.0928366093379928,-1.8514978856193158,combined,ow
-5124.949243045268,205.06913423476684,0.023922271782460508,-8.310932437350296,82873.1904761905,-8.310932437349713,260.44656132945494,21584037.48592475,ow,ADBE,2019-02-14,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09500962661341524,-2.374416392849261,combined,ow
-4013.7159971750143,197.1350443147257,0.017366601875504286,-19.19335632320459,82873.1904761905,-19.19335632320416,259.1118175506403,21473423.010506134,ow,ADBE,2019-02-15,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09180420104343633,-1.8691551855571673,combined,ow
-2478.2273641488546,178.9050320899674,0.01922585368294054,15.721963763456024,82873.1904761905,15.72196376345616,257.53202025799004,21342500.16855856,ow,ADBE,2019-02-19,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.0838257142682503,-1.1611701274810065,combined,ow
-3777.990129267614,189.11597320805257,0.023999401549038225,-13.33204604948316,82873.19047619049,-13.332046049482951,258.7318495564383,21441933.850547772,ow,ADBE,2019-02-20,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.08819912164929157,-1.7619633357702478,combined,ow
-4861.362902887998,205.6392347732023,0.02062123899196547,0.20951719620650167,82873.19047619047,0.20951719620610376,257.7828034100926,21363283.368490964,ow,ADBE,2019-02-21,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09625825357749211,-2.2755691711968287,combined,ow
-4426.335279706655,205.96239051800893,0.032021681585785666,88.04196535570124,82873.1904761905,88.0419653557008,258.79494028846625,21447162.38080041,ow,ADBE,2019-02-22,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09603246660844389,-2.0638325952477183,combined,ow
-3728.05253256534,196.82355446985935,0.018909390283983314,-37.5569596250709,82873.19047619049,-37.55695962507062,259.6049921597524,21514293.9638251,ow,ADBE,2019-02-25,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.0914850167989735,-1.732825877918104,combined,ow
-4254.994501807891,199.50273241953707,0.01614066302766534,-34.23452397280975,82873.19047619047,-34.23452397280926,260.3490804324102,21575958.932976164,ow,ADBE,2019-02-26,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09246529113226204,-1.9720998334422402,combined,ow
-3829.111105775412,194.57693058785847,0.018541828564625707,-2.188682485530112,82873.19047619049,-2.1886824855304,259.3807023897914,21495706.35499726,ow,ADBE,2019-02-27,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09051897498712519,-1.7813376506630738,combined,ow
-4052.103622631058,197.06629734700834,0.021476054199535702,6.36476424273301,82873.19047619047,6.364764242733187,263.30810257906126,21821182.538958844,ow,ADBE,2019-02-28,339.1893382018602,414365.9523809524,0.0003273652057233,1800.0,0.09030963239282402,-1.8569587671963064,combined,ow
-1757.3314938715175,71.60379333386409,0.006167699560323141,27.07416919275589,89325.20000000001,27.074169192755953,100.19446620397062,8949890.732562918,ow,ADI,2019-02-01,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.0800052151177039,-1.9635228478016096,combined,ow
-1830.4056804209029,74.1686901817115,0.007224564822516168,-7.887858979234447,89325.20000000001,-7.887858979234636,99.84373867027617,8918561.925470155,ow,ADI,2019-02-04,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08316216313966066,-2.05235518429661,combined,ow
-1954.842748252976,76.65883455424837,0.008425429341293096,54.38550270827917,89325.20000000001,54.3855027082792,99.98062655103855,8930789.46279683,ow,ADI,2019-02-05,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08583657119405584,-2.188880116809722,combined,ow
-2679.4457128898403,79.45080240748476,0.007009279624703032,-54.49176508885875,89325.20000000001,-54.49176508885879,102.69747343438128,9173472.354020797,ow,ADI,2019-02-06,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08660930053673832,-2.9208631251997184,combined,ow
-2850.7841336724523,82.4883798101439,0.009259248211799688,-67.78020611686883,89325.20000000001,-67.78020611686898,100.94771868978694,9017175.161508957,ow,ADI,2019-02-07,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.09147918093269033,-3.1615046648327443,combined,ow
-2281.0075943280754,74.5547848643859,0.009058481023007093,101.48131548697336,89325.20000000001,101.4813154869735,100.1542256564096,8946296.23760392,ow,ADI,2019-02-08,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08333592235746695,-2.5496669613290113,combined,ow
-2094.3354224671693,81.07402231033964,0.00952438108604179,89.92861026083928,89325.20000000003,89.92861026083918,101.59522934861089,9075014.18061054,ow,ADI,2019-02-11,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08933762603210085,-2.30780402188448,combined,ow
-1828.9874610463098,76.36216345062493,0.0058398210322282975,33.58660949005372,89325.20000000001,33.58660949005411,104.0308451898471,9292576.052752132,ow,ADI,2019-02-12,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08217545169082492,-1.9682243660568466,combined,ow
-1679.8479537995627,81.8034628009521,0.01159140296436478,-13.158134485802904,89325.20000000003,-13.15813448580277,104.57318798141624,9341020.931077605,ow,ADI,2019-02-13,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08757443474812451,-1.7983558394679358,combined,ow
-2230.1882493171483,89.05547551225175,0.010684077891904736,35.80492330370083,89325.20000000001,35.80492330370108,104.27309638207437,9314215.18894807,ow,ADI,2019-02-14,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.0956124307906499,-2.3943920170143946,combined,ow
-1906.075645497943,84.66904797849355,0.009649803038937492,5.473386804886431,89325.2,5.473386804886523,105.45985050297985,9420222.238148775,ow,ADI,2019-02-15,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08988009607205655,-2.0233871317589185,combined,ow
-1307.1838917239538,80.3977252355527,0.009070943301129937,71.96019703482106,89325.2,71.960197034821,104.61163490126368,9344455.209882358,ow,ADI,2019-02-19,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08603789459071619,-1.398887214250354,combined,ow
-4905.225561703602,119.84031040826396,0.013343188654422262,-9.694758389890493,89325.20000000001,-9.694758389890858,107.00239117399585,9558009.992095415,ow,ADI,2019-02-20,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.12538207274042745,-5.132057369431796,combined,ow
-1768.4724719613496,80.76974376727142,0.007427824418365107,53.15584809617308,89325.20000000001,53.155848096173635,105.72893837649771,9444258.566268334,ow,ADI,2019-02-21,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08552258835410687,-1.8725371182421129,combined,ow
-1726.4173438231282,82.27150729061128,0.010174474732152605,84.62841730481287,89325.20000000001,84.62841730481391,105.70525940797492,9442143.437669242,ow,ADI,2019-02-22,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08713223626998798,-1.8284167733945036,combined,ow
-1594.7858781277591,80.24864781782553,0.0064779862803638075,-28.024973342035814,89325.20000000001,-28.024973342036354,107.39193563466502,9592806.128953582,ow,ADI,2019-02-25,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08365502934080389,-1.662481089151047,combined,ow
-1407.5218326471186,77.93971862294025,0.006232254123240707,-78.1538004510997,89325.20000000001,-78.15380045109993,107.02984625636026,9560462.422818633,ow,ADI,2019-02-26,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08152295901181097,-1.4722319594998736,combined,ow
-1833.7587497064983,81.7658547967592,0.00933658662275389,-50.521667488699904,89325.20000000001,-50.52166748869984,105.70268234024265,9441913.240578644,ow,ADI,2019-02-27,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08659882029560803,-1.942147426038112,combined,ow
-1673.4102292899447,82.63280878515141,0.01110440993209928,13.637318167995799,89325.20000000001,13.637318167995886,106.31850515558327,9496921.736723507,ow,ADI,2019-02-28,338.4056168302951,446626.0,0.0003180139031073,1800.0,0.08701009766735238,-1.7620554066683094,combined,ow
-371.9859673821247,15.864528883553877,0.002615765484588058,-20.165601271450974,52811.09523809524,-20.165601271450754,44.85939162784753,2369073.603581268,ow,ADM,2019-02-01,348.7162946314052,264055.4761904762,0.0002399653754965,1800.0,0.06696511606719131,-1.5701748009002467,combined,ow
-280.99933315030285,15.608679165585993,0.0022042588665691374,-185.30900426235746,52811.095238095244,-185.3090042623578,44.46543925547969,2348268.5473248768,ow,ADM,2019-02-04,348.7162946314052,264055.4761904762,0.0002399653754965,1800.0,0.06646888484439839,-1.1966235014747968,combined,ow
-1182.3520898031973,20.556620766995245,0.004698496829116043,-19.68188829998106,52811.095238095244,-19.68188829998116,41.79899244659542,2207450.5709535745,ow,ADM,2019-02-05,348.7162946314052,264055.4761904762,0.0002399653754965,1800.0,0.09312381005258566,-5.35618828960888,combined,ow
-790.3715584515214,26.805319415750056,0.00637829191232321,1.3245033220395026,52811.09523809525,1.324503322039801,41.54000282431982,2193773.0453458996,ow,ADM,2019-02-06,348.7162946314052,264055.4761904762,0.0002399653754965,1800.0,0.12218820662701493,-3.6027954675088134,combined,ow
-517.1287149694122,17.784388916379072,0.002903344952889961,56.28966622555156,52811.095238095244,56.28966622555141,41.25259949587449,2178594.9607956274,ow,ADM,2019-02-07,348.7162946314052,264055.4761904762,0.0002399653754965,1800.0,0.0816323788332099,-2.37367993718555,combined,ow
