stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key
AES,2019-02-22,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49331481.146817625,73593.36190476191,54.13883800758848,0.0014918133450268283,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-25,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,51374538.7592903,73593.36190476193,8.828558292663764,0.0014324870584157543,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-26,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,51921121.02775051,73593.3619047619,-1.1421377062485902,0.0014174070291245859,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-27,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,50820874.07007934,73593.36190476191,48.02121478764249,0.0014480931949985845,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-28,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,50709367.65582164,73593.36190476191,24.518655495727856,0.001451277452408009,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-01,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,25245616.591876667,60960.009523809524,4.058360615227404,0.0024146769916257365,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-04,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,25181769.84162186,60960.00952380953,12.273334131409428,0.0024207992491080336,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-05,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,25085240.770533256,60960.00952380954,-18.020630843052572,0.0024301145873559683,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-06,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24162109.186089866,60960.009523809524,-12.597970466569897,0.002522958945939381,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-07,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24201562.51513494,60960.009523809524,-10.61190274169546,0.002518846024329501,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-08,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24740884.250073843,60960.00952380953,4.727416786649918,0.002463938188612947,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-11,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,25063784.355952315,60960.00952380954,-7.095167703277774,0.0024321949414367805,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-12,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,23959065.503288146,60960.00952380953,-0.9287517795954301,0.002544340033439258,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-13,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,23819383.486001767,60960.00952380954,-34.807722860335716,0.002559260593777948,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-14,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24815638.635630783,60960.00952380954,28.539937035300504,0.002456515845466977,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-15,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24346657.333980955,60960.009523809524,-3.533633727276019,0.0025038348668392696,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-19,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,23460985.342075557,60960.00952380954,-1.5670318932598093,0.002598356745676927,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-20,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24234553.14224355,60960.00952380954,-18.38816292154894,0.0025154171057336057,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-21,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,23491931.10611119,60960.00952380954,-4.856596119948705,0.002594933947680078,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-22,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,24434364.1710354,60960.00952380953,16.436985100420465,0.0024948473836725322,True,non_rolling_ow_day_only,ow,intraday_only
AFL,2019-02-25,304800.04761904763,0.000232499900595,418.2289418670884,1800.0,0.0003850817669777474,0.2,60960.00952380953,23670137.39292705,60960.009523809524,16.36248897962824,0.0025753973672339218,True,non_rolling_ow_day_only,ow,intraday_only
