stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,c,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,apply_terminal_condition,strategy,model_type,alpha_key
AEP,2019-02-21,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,14505646.765067857,56056.780952380956,371.56234609204876,0.0038644799408307333,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-22,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,12991676.474302983,56056.780952380956,-167.94051026251327,0.004314822730019411,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-25,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,16074393.52830999,56056.780952380956,692.0695603772136,0.003487334116441442,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-26,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,19598707.479997054,56056.780952380956,-1009.2560144075608,0.0028602284619837276,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-27,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15357533.112672865,56056.78095238095,328.15198925016006,0.0036501162355380835,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-28,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,13785010.995362975,56056.78095238094,39.128202533453965,0.004066502447566957,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-01,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,33193202.449569672,73593.36190476193,1285.675742558959,0.002217121472885061,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-04,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,31976939.56790247,73593.36190476193,1430.446924060948,0.002301451073780457,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-05,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,30163884.460851252,73593.3619047619,-1363.9147823438468,0.0024397839741189965,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-06,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,21422370.784426473,73593.36190476191,430.0699985114707,0.003435350953698479,True,True,non_rolling_afs_day_only,afs,intraday_only
