stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key,c,apply_terminal_condition,use_dynamic_target,gamma_method,gamma_clip_multiple,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime
ABT,2019-02-22,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37480386.42000835,100012.02857142861,-28.348644095810442,0.002668383069765755,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-25,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36029198.16137802,100012.0285714286,-16.715147025185694,0.0027758605152261705,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-26,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36776030.73471202,100012.0285714286,-64.85893050362628,0.002719489476525524,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-27,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36209688.25518377,100012.02857142857,13.343712499947394,0.0027620240159651438,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-28,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,35618000.63901344,100012.02857142859,60.31902189161087,0.002807906866672423,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-01,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,41854953.89237232,82873.19047619049,36.77246009406504,0.0019800091212451047,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-04,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,40905311.82424374,82873.19047619047,-23.730300104219957,0.0020259762554131967,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-05,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39638581.55936448,82873.19047619049,57.773656495049615,0.002090720384433433,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-06,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,41310986.45791978,82873.19047619049,0.022808302781328393,0.0020060811319673236,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-07,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39988549.904320225,82873.19047619049,-8.943336247887025,0.002072422997945148,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-08,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39914916.24042819,82873.19047619047,5.3882731467131855,0.0020762461325736573,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
